"id","under_rate","test_auc","test_acc","test_sens","test_spec","test_Top10Lift","test_Top20Lift","test_Top30Lift","test_Top40Lift","test_Top50Lift","train_auc","train_acc","train_sens","train_spec","train_Top10Lift","train_Top20Lift","train_Top30Lift","train_Top40Lift","train_Top50Lift"
"p_o_1",0.5,0.845596044267011,0.803469852104664,0.573752711496746,0.885119506553585,2.85411531256163,2.58823765036482,1.91359569118517,1.43519676838888,1.14750542299349,0.848216880415225,0.805460750853242,0.895289996107435,0.561774023231257,2.85191873860036,2.52975754775847,1.87311206041407,1.40483404531055,1.12386723624844
"u_1_1",0.5,0.842083851103083,0.744311717861206,0.795010845986985,0.726291441788743,2.77815026621968,2.52855082823901,2.22830802603037,1.95609994330507,1.59002169197397,0.846698492257826,0.751990898748578,0.73258077072791,0.804646251319958,2.85191873860036,2.4822255687818,2.23928434290103,1.98049912402803,1.60974968800998
"u_1_2",0.5,0.842815139894005,0.746018202502844,0.801518438177874,0.726291441788743,2.82155886412936,2.55568120193256,2.22469064287123,1.97780424225991,1.60303687635575,0.845120914091045,0.744880546075085,0.723238614246789,0.803590285110876,2.8096680906211,2.47166290678698,2.221679906243,1.97521779303062,1.60763715561102
"u_1_3",0.5,0.841830471453399,0.743174061433447,0.79175704989154,0.725905936777178,2.8432631630842,2.54482905245514,2.21383849339381,1.96695209278249,1.58351409978308,0.845739942939186,0.755688282138794,0.73725184896847,0.805702217529039,2.8096680906211,2.51919488576366,2.22872168090621,1.98578045502544,1.61186222040895
"u_1_4",0.5,0.846344894023746,0.737770193401593,0.796095444685466,0.71703932151118,2.89752391047131,2.59908979984224,2.23554279234865,1.96695209278249,1.59219088937093,0.846461321178563,0.753412969283277,0.735305566368237,0.802534318901795,2.86248140059518,2.51919488576366,2.22872168090621,1.98578045502544,1.60552462321206
"u_1_5",0.5,0.844163989316243,0.739761092150171,0.802603036876356,0.717424826522745,2.88667176099389,2.55025512719385,2.21383849339381,1.9723781675212,1.60520607375271,0.847258742138317,0.747440273037543,0.722849357726742,0.81414994720169,2.83079341461073,2.51919488576366,2.24632611756424,1.96993646203321,1.62876247960065
"u_1_6",0.5,0.843145871416935,0.742036405005688,0.795010845986985,0.723207401696222,2.82155886412936,2.55025512719385,2.20660372707553,1.95881298067442,1.59002169197397,0.846664786835817,0.751706484641638,0.73258077072791,0.803590285110876,2.79910542862628,2.51391355476625,2.22872168090621,1.99106178602285,1.60763715561102
"u_1_7",0.5,0.845067542819488,0.736063708759955,0.801518438177874,0.712798766383963,2.86496746203905,2.59366372510353,2.21383849339381,1.95881298067442,1.60303687635575,0.847541949891548,0.746587030716723,0.723627870766835,0.808870116156283,2.84135607660555,2.5456015407507,2.22872168090621,1.97521779303062,1.61819981760584
"u_1_8",0.5,0.84400552250563,0.742320819112628,0.806941431670282,0.719352351580571,2.8432631630842,2.57195942614869,2.22830802603037,1.9723781675212,1.61388286334056,0.846127966334044,0.748577929465301,0.727520435967302,0.805702217529039,2.8096680906211,2.51919488576366,2.21815901891139,1.96465513103581,1.61186222040895
"u_1_9",0.5,0.843284686670562,0.747155858930603,0.8058568329718,0.726291441788743,2.79985456517452,2.55568120193256,2.22830802603037,1.96695209278249,1.6117136659436,0.84685098874034,0.749146757679181,0.727520435967302,0.807814149947202,2.8096680906211,2.54032020975329,2.22872168090621,1.98842112052414,1.61608728520687
"u_1_10",0.5,0.843584059325958,0.744311717861206,0.797180043383948,0.725520431765613,2.8432631630842,2.59366372510353,2.19936896075725,1.96695209278249,1.5943600867679,0.84737506694842,0.751422070534699,0.728298949007396,0.81414994720169,2.83079341461073,2.50863222376884,2.21815901891139,1.98578045502544,1.62876247960065
"u_1_11",0.5,0.844769842637015,0.741467576791809,0.79826464208243,0.721279876638396,2.90837605994873,2.55025512719385,2.20298634391639,1.96423905541313,1.59652928416486,0.847221748382453,0.750853242320819,0.729466718567536,0.808870116156283,2.84135607660555,2.48750689977921,2.221679906243,1.98578045502544,1.61819981760584
"u_1_12",0.5,0.844878971496034,0.741467576791809,0.800433839479393,0.720508866615266,2.87581961151647,2.58823765036482,2.19213419443897,1.9723781675212,1.60086767895879,0.847193386502954,0.747724687144482,0.727909692487349,0.801478352692714,2.85191873860036,2.51391355476625,2.23576345556942,1.97785845852933,1.60341209081309
"u_1_13",0.5,0.843477021058102,0.743174061433447,0.793926247288503,0.725134926754048,2.85411531256163,2.55025512719385,2.21383849339381,1.96423905541313,1.58785249457701,0.846865786242673,0.751706484641638,0.734137796808097,0.799366420274551,2.75685478064702,2.50863222376884,2.22872168090621,1.98313978952674,1.59918702601517
"u_1_14",0.5,0.844301132096923,0.737770193401593,0.8058568329718,0.713569776407093,2.89752391047131,2.58281157562611,2.19575157759811,1.95609994330507,1.6117136659436,0.846601075367382,0.748862343572241,0.724406383806929,0.815205913410771,2.78854276663147,2.50335089277143,2.24280523023263,1.97785845852933,1.63087501199962
"u_1_15",0.5,0.845897507513586,0.745733788395904,0.8058568329718,0.724363916730917,2.86496746203905,2.58281157562611,2.22107325971209,1.96152601804378,1.6117136659436,0.847030202935415,0.746587030716723,0.723627870766835,0.808870116156283,2.77798010463665,2.51391355476625,2.22520079357461,1.98578045502544,1.61819981760584
"u_1_16",0.5,0.843717857160765,0.747155858930603,0.792841648590022,0.730917501927525,2.85411531256163,2.56110727667127,2.20660372707553,1.96423905541313,1.58568329718004,0.846584633698106,0.753412969283277,0.732970027247956,0.808870116156283,2.7462921186522,2.50335089277143,2.22520079357461,1.99370245152155,1.61819981760584
"u_1_17",0.5,0.844423640739435,0.744027303754266,0.810195227765727,0.720508866615266,2.8432631630842,2.55568120193256,2.21022111023467,1.98051727962926,1.62039045553145,0.846834958112803,0.751137656427759,0.730245231607629,0.807814149947202,2.89416938657963,2.50335089277143,2.23928434290103,1.99106178602285,1.61608728520687
"u_1_18",0.5,0.844472560572789,0.746871444823663,0.81236442516269,0.723592906707787,2.83241101360678,2.56110727667127,2.23192540918951,1.9723781675212,1.62472885032538,0.846855510199385,0.75,0.730245231607629,0.803590285110876,2.84135607660555,2.50335089277143,2.22872168090621,1.97257712753192,1.60763715561102
"u_1_19",0.5,0.844116741955819,0.739761092150171,0.795010845986985,0.720123361603701,2.86496746203905,2.56110727667127,2.22830802603037,1.947960831197,1.59002169197397,0.845214631605909,0.749431171786121,0.729077462047489,0.804646251319958,2.78854276663147,2.48750689977921,2.23224256823782,1.97257712753192,1.60974968800998
"u_1_20",0.5,0.841418206874866,0.738623435722412,0.8058568329718,0.714726291441789,2.77815026621968,2.56110727667127,2.20298634391639,1.9723781675212,1.6117136659436,0.846113168831692,0.747440273037543,0.724017127286882,0.810982048574446,2.84135607660555,2.47694423778439,2.21815901891139,1.97521779303062,1.62242488240376
"p_1",0.5,0.845199250063135,0.743458475540387,0.801518438177874,0.722821896684657,2.8432631630842,2.56110727667127,2.22469064287123,1.96423905541313,1.60303687635575,0.847983819753276,0.749431171786121,0.728688205527443,0.805702217529039,2.85191873860036,2.48750689977921,2.221679906243,1.98842112052414,1.61186222040895
